taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project ID,GOLD Sequencing Project ID,Contact Name,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Project / Study Name,Specific Ecosystem,Genome Size   * assembled,Gene Count   * assembled
3300024970,Metagenome,Draft,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 20_HOW5 (SPAdes),DOE Joint Genome Institute (JGI),3300024970,Ga0207967,Gp0111078,Ludmila Chistoserdova,Environmental,Aquatic,Sediment,Freshwater,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 20_HOW5,,91696917,162696
3300013174,Metagenome,Draft,Human skin bacterial and viral communities - University of Pennsylvania,Human skin bacterial and viral communities - University of Pennsylvania - MG100467,University of Pennsylvania,3300013174,Ga0118190,Gp0138127,,Host-associated,Human,Unclassified,Skin,Human skin bacterial and viral communities - University of Pennsylvania - MG100467,Unclassified,45458817,86539
3300027160,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Law_RepC_8h",DOE Joint Genome Institute (JGI),3300027160,Ga0255198,Gp0293391,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Law_RepC_8h",,176666155,395671
3300026255,Metagenome,Draft,"Anaerobic biogas reactor microbial communites from Washington, USA","Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R2_A C13 SIP DNA (SPAdes)",DOE Joint Genome Institute (JGI),3300026255,Ga0209613,Gp0141805,David Beck,Engineered,Bioreactor,,Anaerobic,"Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R2_A C13 SIP DNA",,438183791,752677
3300012988,Metagenome,Draft,"Amended soil microbial communities from New York, USA to study carbon cycling","Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_242_MG",DOE Joint Genome Institute (JGI),3300012988,Ga0164306,Gp0191781,Thea Whitman,Environmental,Terrestrial,,Soil,"Soil microbial communities amended with fresh organic matter from upstate New York, USA - Whitman soil sample_242_MG",,2814679140,6330577
3300020339,Metagenome,Draft,Marine microbial communities from Tara Oceans,Marine microbial communities from Tara Oceans - TARA_B100000674 (ERX555929-ERR599080),CEA Genoscope,3300020339,Ga0211605,Gp0117223,William William,Environmental,Aquatic,,Marine,Marine microbial communities from Tara Oceans - TARA_B100000674,,292567602,732499
3300000146,Metagenome,Draft,Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean,Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - 54 02/08/11 120m,DOE Joint Genome Institute (JGI),3300000146,Ga0026201,Gp0053650,Steven Hallam,Environmental,Aquatic,Intertidal zone,Marine,Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  54 02/08/11 120m,Unclassified,85825843,169407
3300029814,Metagenome,Draft,"Human fecal microbial communities from healthy and liver cirrhosis patients in Hangzhou, China","Human fecal microbial communities from liver cirrhosis patients in Hangzhou, China - LD-85_Run4",Zhejiang University,3300029814,Ga0243410,Gp0282554,,Host-associated,Human,Large intestine,Digestive system,"Human fecal microbial communities from liver cirrhosis patients in Hangzhou, China - LD-85_Run4",Fecal,141920095,197351
3300024223,Metagenome,Draft,"Seawater microbial communities from Monterey Bay, California, United States","Seawater microbial communities from Monterey Bay, California, United States - 1D",DOE Joint Genome Institute (JGI),3300024223,Ga0228601,Gp0266591,Mary Ann Moran,Environmental,Aquatic,Coastal,Marine,"Seawater microbial communities from Monterey Bay, California, United States - 1D",,167813364,472710
3300018086,Metagenome,Draft,Tropical peatland microbial communities from different locations,"Tropical peat soil microbial communities from peatlands in Department of Meta, Colombia - 0116_SJ02_MP02_10_MG",DOE Joint Genome Institute (JGI),3300018086,Ga0187769,Gp0213261,Hinsby Cadillo-Quiroz,Environmental,Terrestrial,Wetlands,Soil,"Tropical peat soil microbial communities from peatlands in Department of Meta, Colombia - 0116_SJ02_MP02_10_MG",,2235592144,4574948
3300011936,Metagenome,Draft,"Human oral microbial communities from Los Angeles, CA, USA","Human oral microbial communities from Los Angeles, CA, USA - S01-06-R","University of California, Los Angeles",3300011936,Ga0119780,Gp0134610,,Host-associated,Human,Oral,Digestive system,"Human oral microbial communities from Los Angeles, CA, USA - S01-06-R",Subgingival plaque,115238576,179565
3300001961,Metagenome,Permanent Draft,Marine microbial communities from Global Ocean Sampling (GOS),"Marine microbial communities from Dirty Rock, Cocos Island, Costa Rica - GS025",J. Craig Venter Institute (JCVI),3300001961,Ga0016738,Gp0056490,Venter JC,Environmental,Aquatic,Intertidal zone,Marine,"Marine microbial communities from Dirty Rock, Cocos Island, Costa Rica - GS025",,88355364,163872
3300028189,Metagenome,Draft,Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean,"Marine microbial communities from Saanich Inlet, British Columbia, Canada - SI060_135m",DOE Joint Genome Institute (JGI),3300028189,Ga0257127,Gp0297554,Steven Hallam,Environmental,Aquatic,Inlet,Marine,"Marine microbial communities from Saanich Inlet, British Columbia, Canada - SI060_135m",,449905649,856501
3300014529,Metagenome,Draft,Human host-associated microbial communities from fecal samples of mother and infant in Denmark,Human fecal microbial communities from infant at 4 months in Denmark - 78_4M,Beijing Genomics Institute (BGI),3300014529,Ga0169876,Gp0193863,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from infant at 4 months in Denmark - 78_4M,Fecal,78391073,83579
3300011855,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P00997",Weill Cornell Medical College,3300011855,Ga0121608,Gp0135827,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P00997",Unclassified,45657854,69100
3300012223,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway missing -P00795",Weill Cornell Medical College,3300012223,Ga0121735,Gp0135954,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway missing -P00795",Unclassified,13652279,23137
3300022913,Metagenome,Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Seawater microbial communities from Saanich Inlet, British Columbia, Canada - Na_oxic_2_MG",DOE Joint Genome Institute (JGI),3300022913,Ga0233404,Gp0272207,Sean Crowe,Environmental,Aquatic,Inlet,Marine,"Seawater microbial communities from Saanich Inlet, British Columbia, Canada - Na_oxic_2_MG",,469340894,1191475
3300017540,Metagenome,Draft,"Lignin-adapted enriched soil microbial communities from Emeryville, California, USA","Enriched Organic Plus compost microbial communities from Emeryville, California, USA - eDNA 3rd pass 37_C BE-Lig OP (version 2)",DOE Joint Genome Institute (JGI),3300017540,Ga0180217,Gp0191727,John Gladden,Environmental,Terrestrial,,Soil,"Enriched Organic Plus compost microbial communities from Emeryville, California, USA - eDNA 3rd pass 37_C BE-Lig OP",,519181799,792144
3300012865,Metagenome,Draft,"Characterization of biomass-degrading enzymes from insect-associated, soil, and chicken feces microbial communities","Enriched soil microbial communities from UW Madison campus, WI, USA - HID1975I_E1 MG",DOE Joint Genome Institute (JGI),3300012865,Ga0160449,Gp0191466,Cameron Currie,Environmental,Terrestrial,,Soil,"Enriched soil microbial communities from UW Madison campus, WI, USA - HID1975I_E1 MG",,195085006,296413
3300026045,Metagenome,Draft,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration","Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNE_CattailC_D2 (SPAdes)",DOE Joint Genome Institute (JGI),3300026045,Ga0208535,Gp0116080,Susannah Tringe,Environmental,Terrestrial,Wetlands,Soil,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - MayberryNE_CattailC_D2",,67027514,166292
3300029339,Metagenome,Draft,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 015_6_2_stool_1","Institute for Genome Sciences, University of Maryland School of Medicine",3300029339,Ga0242823,Gp0281939,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 015_6_2_stool_1",Fecal,249548581,331262
3300011659,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P00970",Weill Cornell Medical College,3300011659,Ga0121150,Gp0135382,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P00970",Unclassified,27786070,47037
3300014963,Metagenome,Draft,"Human fecal microbial communities from elderly subjects during probiotic consumption in Boston, USA","Human fecal microbial communities from elderly subjects during probiotic consumption in Boston, USA - meta_42827d56",University of Maryland School of Medicine,3300014963,Ga0134523,Gp0151695,,Host-associated,Human,Large intestine,Digestive system,"Human fecal microbial communities from elderly subjects during probiotic consumption in Boston, USA - meta_42827d56",Fecal,530841704,768619
3300027538,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from Columbia River, Oregon, United States - Colum_Cont_RepB_8d",DOE Joint Genome Institute (JGI),3300027538,Ga0255085,Gp0293278,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from Columbia River, Oregon, United States - Colum_Cont_RepB_8d",,262577963,588339
3300012262,Metagenome,Draft,Saline lake microbial communities from various lakes in Antarctica,"Saline lake microbial communities from Deep Lake, Antarctica - Metagenome #680",DOE Joint Genome Institute (JGI),3300012262,Ga0136606,Gp0154691,Rick Cavicchioli,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,"Saline lake microbial communities from Deep Lake, Antarctica - Metagenome #680",,86277388,166627
3300000222,Metagenome,Draft,Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean,"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - June 2009 P12 500m",DOE Joint Genome Institute (JGI),3300000222,Ga0026466,Gp0054029,Steven Hallam,Environmental,Aquatic,Oceanic,Marine,"Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean -  June 2009 P12 500m",Aphotic zone,174490890,430705
3300006678,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human tongue dorsum microbial communities from NIH, USA - visit 2 of subject 159005010","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300006678,Ga0100058,Gp0052489,,Host-associated,Human,Oral,Digestive system,"Human tongue dorsum microbial communities from NIH, USA - visit 2 of subject 159005010",tongue dorsum,126767300,166495
3300014658,Metagenome,Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin02_10_metaG",DOE Joint Genome Institute (JGI),3300014658,Ga0181519,Gp0208362,Erik Lilleskov,Environmental,Aquatic,Wetlands,Freshwater,"Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin02_10_metaG",Bog,1700063704,3399260
3300025452,Metagenome,Permanent Draft,Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean,Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_200m_DNA (SPAdes),DOE Joint Genome Institute (JGI),3300025452,Ga0209046,Gp0091330,Steven Hallam,Environmental,Aquatic,Intertidal zone,Marine,Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI073_LV_200m_DNA,Unclassified,212354084,398682
3300005346,Metagenome,Draft,"Saline water and sediment microbial community from Etoliko Lagoon, Greece","Saline sediment microbial community from Etoliko Lagoon, Greece",DOE Joint Genome Institute (JGI),3300005346,Ga0074242,Gp0051421,Nikos Kyrpides,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,"Saline sediment microbial community from Etoliko Lagoon, Greece",Sediment,427127693,1263951
3300028071,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Atlam_RepA_8d",DOE Joint Genome Institute (JGI),3300028071,Ga0255216,Gp0293409,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Atlam_RepA_8d",,132265979,279140
3300013188,Metagenome,Draft,"Marine hypoxic microbial communities from the Gulf of Mexico, USA","Marine hypoxic microbial communities from the Gulf of Mexico, USA - 6m_Station1_GOM_Metagenome",Georgia Institute of Technology,3300013188,Ga0116834,Gp0134786,,Environmental,Aquatic,Oceanic,Marine,"Marine hypoxic microbial communities from the Gulf of Mexico, USA - 6m_Station1_GOM_Metagenome",Unclassified,276475795,661707
3300029633,Metagenome,Draft,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 001_6_7_stool_2","Institute for Genome Sciences, University of Maryland School of Medicine",3300029633,Ga0242758,Gp0281874,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 001_6_7_stool_2",Fecal,95424955,115365
